GEOID,NAME,variable,estimate,moe,High_Error
2432650,"Glen Burnie CDP, Maryland",B25024_009,724,182,FALSE
2467675,"Rockville city, Maryland",B25024_009,6757,513,FALSE
2471150,"Severn CDP, Maryland",B25024_009,1455,300,FALSE
2472450,"Silver Spring CDP, Maryland",B25024_009,13826,760,FALSE
2478425,"Towson CDP, Maryland",B25024_009,4755,483,FALSE
2481175,"Waldorf CDP, Maryland",B25024_009,1350,275,FALSE
2483775,"Wheaton CDP, Maryland",B25024_009,2035,313,FALSE
2507000,"Boston city, Massachusetts",B25024_009,54156,1583,FALSE
2509000,"Brockton city, Massachusetts",B25024_009,2626,396,FALSE
2509210,"Brookline CDP, Massachusetts",B25024_009,5419,542,FALSE
2511000,"Cambridge city, Massachusetts",B25024_009,14034,568,FALSE
2513660,"Chicopee city, Massachusetts",B25024_009,1209,321,FALSE
2523000,"Fall River city, Massachusetts",B25024_009,2790,328,FALSE
2524960,"Framingham city, Massachusetts",B25024_009,3016,428,FALSE
2529405,"Haverhill city, Massachusetts",B25024_009,1786,247,FALSE
2534550,"Lawrence city, Massachusetts",B25024_009,2992,362,FALSE
2537000,"Lowell city, Massachusetts",B25024_009,4094,371,FALSE
2537490,"Lynn city, Massachusetts",B25024_009,4125,500,FALSE
2537875,"Malden city, Massachusetts",B25024_009,4671,545,FALSE
2539835,"Medford city, Massachusetts",B25024_009,4533,614,FALSE
2540710,"Methuen Town city, Massachusetts",B25024_009,354,139,TRUE
2545000,"New Bedford city, Massachusetts",B25024_009,2507,293,FALSE
2545560,"Newton city, Massachusetts",B25024_009,2218,322,FALSE
2552490,"Peabody city, Massachusetts",B25024_009,2656,463,FALSE
2555745,"Quincy city, Massachusetts",B25024_009,10234,695,FALSE
2556585,"Revere city, Massachusetts",B25024_009,4358,592,FALSE
2562535,"Somerville city, Massachusetts",B25024_009,3403,387,FALSE
2567000,"Springfield city, Massachusetts",B25024_009,4633,404,FALSE
2569170,"Taunton city, Massachusetts",B25024_009,604,186,FALSE
